draw_date,first_prize,front3_1,front3_2,back3_1,back3_2,last2,digit1,digit2,digit3,digit4,digit5,digit6
2024-03-16,997626,571,509,794,329,78,9,9,7,6,2,6
2024-03-01,253603,975,900,382,703,79,2,5,3,6,0,3
2024-02-16,941395,056,330,587,375,43,9,4,1,3,9,5
2024-02-01,607063,943,454,591,544,09,6,0,7,0,6,3
2024-01-17,105979,429,931,196,635,61,1,0,5,9,7,9
2023-12-30,625544,600,648,882,456,89,6,2,5,5,4,4
2023-12-16,356757,058,410,964,584,85,3,5,6,7,5,7
2023-12-01,251097,265,055,280,092,91,2,5,1,0,9,7
2023-11-16,557990,412,346,778,961,14,5,5,7,9,9,0
2023-11-01,743951,913,335,019,349,63,7,4,3,9,5,1
2023-10-16,931446,398,167,970,272,44,9,3,1,4,4,6
2023-10-01,727202,355,324,426,615,66,7,2,7,2,0,2
2023-09-16,320812,699,037,344,057,46,3,2,0,8,1,2
2023-09-01,915478,521,596,692,291,91,9,1,5,4,7,8
2023-08-16,471782,431,739,737,742,67,4,7,1,7,8,2
2023-07-31,260453,268,708,387,601,11,2,6,0,4,5,3
2023-07-16,169530,261,384,780,066,62,1,6,9,5,3,0
2023-07-01,922605,867,281,947,491,16,9,2,2,6,0,5
2023-06-16,264872,519,628,202,874,30,2,6,4,8,7,2
2023-06-01,125272,681,000,971,386,09,1,2,5,2,7,2
2023-05-16,132903,739,678,693,731,99,1,3,2,9,0,3
2023-05-02,843019,500,780,269,187,65,8,4,3,0,1,9
2023-04-16,984906,670,678,797,551,71,9,8,4,9,0,6
2023-04-01,087907,111,914,698,290,99,0,8,7,9,0,7
2023-03-16,025873,420,800,355,544,73,0,2,5,8,7,3
2023-03-01,417652,577,919,748,984,55,4,1,7,6,5,2
2023-02-16,590417,664,195,523,377,80,5,9,0,4,1,7
2023-02-01,297411,181,789,101,664,92,2,9,7,4,1,1
2023-01-17,812519,443,389,849,564,47,8,1,2,5,1,9
2022-12-30,157196,007,522,250,425,58,1,5,7,1,9,6
2022-12-16,845093,912,411,855,593,14,8,4,5,0,9,3
2022-12-01,375805,170,786,409,421,08,3,7,5,8,0,5
2022-11-16,121789,722,532,157,973,64,1,2,1,7,8,9
2022-11-01,913106,722,839,343,922,70,9,1,3,1,0,6
2022-10-16,613106,158,037,606,799,15,6,1,3,1,0,6
2022-10-01,484669,206,996,278,194,50,4,8,4,6,6,9
2022-09-16,943703,971,540,631,432,75,9,4,3,7,0,3
2022-09-01,929332,725,298,604,210,83,9,2,9,3,3,2
2022-08-16,331583,271,300,284,876,42,3,3,1,5,8,3
2022-08-01,436594,893,266,447,282,14,4,3,6,5,9,4
2022-07-16,620405,159,834,279,061,53,6,2,0,4,0,5
2022-07-01,981417,287,242,002,542,61,9,8,1,4,1,7
2022-06-16,361807,549,285,228,106,92,3,6,1,8,0,7
2022-06-01,319196,817,679,213,652,02,3,1,9,1,9,6
2022-05-16,155012,247,736,540,236,06,1,5,5,0,1,2
2022-05-02,658642,778,518,041,325,09,6,5,8,6,4,2
2022-04-16,395919,859,289,413,508,58,3,9,5,9,1,9
2022-04-01,970618,738,391,578,870,10,9,7,0,6,1,8
2022-03-16,737867,349,985,989,788,03,7,3,7,8,6,7
2022-03-01,061905,236,834,234,691,07,0,6,1,9,0,5
2022-02-17,098597,644,085,816,592,57,0,9,8,5,9,7
2022-02-01,944308,942,061,509,485,30,9,4,4,3,0,8
2022-01-17,880159,731,786,529,119,92,8,8,0,1,5,9
2021-12-30,819068,591,979,547,419,36,8,1,9,0,6,8
2021-12-16,639235,097,629,476,522,83,6,3,9,2,3,5
2021-12-01,077258,740,739,485,401,82,0,7,7,2,5,8
2021-11-16,032761,648,471,844,245,57,0,3,2,7,6,1
2021-11-01,045037,458,247,755,331,95,0,4,5,0,3,7
2021-10-16,386372,602,964,295,798,38,3,8,6,3,7,2
2021-10-01,578171,285,361,379,449,83,5,7,8,1,7,1
2021-09-16,070935,609,817,379,007,90,0,7,0,9,3,5
2021-09-01,114475,278,302,458,123,79,1,1,4,4,7,5
2021-08-16,046750,421,666,160,355,23,0,4,6,7,5,0
2021-08-01,910261,103,307,004,785,69,9,1,0,2,6,1
2021-07-16,556725,174,058,233,927,70,5,5,6,7,2,5
2021-07-01,713517,794,073,511,414,29,7,1,3,5,1,7
2021-06-16,691861,054,007,447,668,17,6,9,1,8,6,1
2021-06-01,292972,620,193,978,723,45,2,9,2,9,7,2
2021-05-16,684579,843,615,276,970,14,6,8,4,5,7,9
2021-05-02,501272,306,018,498,129,18,5,0,1,2,7,2
2021-04-16,100787,143,013,478,264,56,1,0,0,7,8,7
2021-04-01,472270,755,283,393,577,05,4,7,2,2,7,0
2021-03-16,890422,036,902,396,256,19,8,9,0,4,2,2
2021-03-01,835538,290,838,051,806,73,8,3,5,5,3,8
2021-02-16,424603,861,318,057,817,39,4,2,4,6,0,3
2021-02-01,912307,605,248,282,651,97,9,1,2,3,0,7
2021-01-17,384395,653,367,878,566,15,3,8,4,3,9,5
2020-12-30,803628,336,804,924,321,19,8,0,3,6,2,8
2020-12-16,201303,377,828,072,517,70,2,0,1,3,0,3
2020-12-01,100994,093,776,984,834,84,1,0,0,9,9,4
2020-11-16,972661,368,741,208,255,46,9,7,2,6,6,1
2020-11-01,506404,154,598,245,062,40,5,0,6,4,0,4
2020-10-16,286051,189,464,980,045,38,2,8,6,0,5,1
2020-10-01,837893,757,594,595,110,59,8,3,7,8,9,3
2020-09-16,244083,220,127,853,623,57,2,4,4,0,8,3
2020-09-01,999997,725,636,957,342,98,9,9,9,9,9,7
2020-08-16,945811,712,614,364,733,88,9,4,5,8,1,1
2020-08-01,569391,931,575,578,809,92,5,6,9,3,9,1
2020-07-16,873286,510,533,682,494,53,8,7,3,2,8,6
2020-07-01,347258,362,095,307,094,83,3,4,7,2,5,8
2020-06-16,516967,876,882,625,565,64,5,1,6,9,6,7
2020-06-01,831567,489,264,562,582,24,8,3,1,5,6,7
